,word,classification
0,chief,neg
1,main,neg
2,resigns,neg
3,emissions,neg
4,in,neg
5,a,neg
6,statement,neg
7,main,neg
8,said,neg
9,he,neg
10,a,neg
11,news,neg
12,ceo,neg
13,main,neg
14,resigns,neg
15,takes,neg
16,responsibility,neg
17,rigging,neg
18,us,neg
19,emissions,neg
20,tests,neg
21,chief,neg
22,main,neg
23,resigns,neg
24,emissions,neg
25,in,neg
26,a,neg
27,statement,neg
28,main,neg
29,said,neg
30,he,neg
31,a,neg
32,chief,neg
33,main,neg
34,resigns,neg
35,emissions,neg
36,in,neg
37,a,neg
38,statement,neg
39,main,neg
40,said,neg
41,he,neg
42,a,neg
43,scandal,pos
44,kill,neg
45,off,neg
46,diesel,neg
47,cars,neg
48,telegraph,neg
49,chief,neg
50,steps,neg
51,down,neg
52,emissions,neg
53,testing,neg
54,ceo,neg
55,main,neg
56,phot,neg
57,decisive,pos
58,by,neg
59,ceo,neg
60,ownership,neg
61,taken,neg
62,nails,neg
